ID,Source,Destination,Date
1,"Wuhan, China","Huanan, China",29-Dec-19
2,"Wuhan, China","Anyang, China",10-Jan-20
3,"Wuhan, China","Mainland, China",19-Jan-20
4,"Wuhan, China","Zhejiang, China",19-Jan-20
5,"Wuhan, China","Tokyo, Japan",20-Jan-20
6,"Wuhan, China","Bangkok, Thailand",20-Jan-20
7,"Wuhan, China","Seoul, South Korea",20-Jan-20
8,"Wuhan, China","Snohomish, WA",20-Jan-20
9,"Wuhan, China","Kirkland, WA",21-Jan-20
10,"Wuhan, China","Chicago, Illinois",24-Jan-20
11,"Wuhan, China","Nanjing, China",28-Jan-20
12,"Mainland, China","Rtome, Italy",30-Jan-20
13,"Wuhan, China","Myongji, South Korea",6-Feb-20
14,,,
15,,,
16,,,
17,,,
18,,,
19,,,
20,,,
,,,